Business Name,SIC2 Category,SIC4 Category,SIC8 Category,Contact Name,State Code,City,ZIP Code,Address,Phone,Web,Coordinates,Location Type,Market Variable,Annual Revenue,SIC,NAICS,Industry
Zowie's Custom Painting,Building & Construction,Painting and Paper Hanging,Painters,Zvonimir Nikolic,CA,Whittier,90605,13544 La Forge St,Not in Sample,,,Single Location,BOTH,$100.000 to $499.999,1721,238320,Construction
Barwick Studios LLC,Consumer Services,"Miscellaneous Personal Services, NEC",Apartment Locating Services,Deborah Mills,CA,Los Angeles,90039,4585 Electronics Place,Not in Sample,,,Single Location,B2C,$50.000 to $99.999,7299,812990,Other Services (except Public Administration)
Central Juvenile Hall Library,Educational Services,Elementary and Secondary Schools,Elementary and Secondary Schools,Denise Miranda,CA,Los Angeles,90033,1605 Eastlake Avenue,Not in Sample,lacoe.edu,"34.0627,-118.20526",Branch,B2C,Unknown,8211,5191200,Information
It's Always Summer - Organic Spray Tanning & Sugaring Hair Removal,Consumer Services,"Miscellaneous Personal Services, NEC",Tanning Salons,Colette Nitzberg,CA,Torrance,90503,4825 Torrance Blvd #15,Not in Sample,itsalwayssummerbeauty.com/,"33.838039999999999,-118",Single Location,B2C,Unknown,,,
English Laundry & Rock N Roll,Consumer Services,Coin-Operated Laundries and Drycleaning,Coin-Operated Laundries and Cleaning,"Alexis Milligan, Manager",CA,Los Angeles,90046,7519 Melrose Avenue,Not in Sample,,"34.08367,-118.35357",Single Location,B2C,$100.000 to $499.999,7215,8123200,Other Services (except Public Administration)
Portillo Productions,Media,Motion Picture and Video Tape Production,Motion Picture Producers and Studios,Vince Portillo,CA,Lakewood,90713,5702 Eckleson St,Not in Sample,portilloproductions.com,"33.848474,-118.121334",Single Location,B2B,$0 to $49.999,7812,512110,Information
G&G Auto Exchange,Automotive Services,Motor Vehicle Dealers (New and Used),Used Car Dealers,,CA,Los Angeles,90033,2925 East Cesar East Chavez Avenue,Not in Sample,,,Single Location,BOTH,Unknown,5511,441110,Retail Trade
Jung Ja Lee,Restaurants & Bars,Restaurants,Independent Family Restaurants,Jung Ja Lee,CA,Altadena,91001,2560 Fair Oaks Avenue,Not in Sample,altadena.patch.com,"34.189487,-118.149576",Single Location,B2C,$100.000 to $499.999,5812,722511,Accommodation and Food Services
Blake Electrical,Electrical,Electrical Work,Electrical Contractors,Wayne Blake,CA,Long Beach,90805,601 East Viaduct Barola,Not in Sample,blakeelectrical.com,"33.848827,-118.184124",Branch,B2B,Unknown,1731,238210,Construction
Jimmy Harris Cindy Lu,Consumer Services,Beauty Shops,Beauty Salons,Cindy Lu,CA,Los Angeles,90037,4411 South Normandie Avenue,Not in Sample,,,Single Location,B2C,$50.000 to $99.999,7231,812112,Other Services (except Public Administration)
Regent Studios LLC,Media,Motion Picture and Video Tape Production,Film Studio Production Facilities,,CA,Los Angeles,90024,10940 Wilshire Boulevard # 1600,Not in Sample,regententertainment.com,"34.058374,-118.44518",Single Location,B2B,Unknown,7812,5121100,Information
Broad Art Foundation,Associations/Non-Profits,"Membership Organizations, NEC",Organizations,"Vicki Gambill, Director",CA,Los Angeles,90024,10900 Wilshire Boulevard Floor 12,Not in Sample,broadartfoundation.org,"34.058694,-118.44398",Single Location,BOTH,Unknown,8699,8133190,Other Services (except Public Administration)
Doc Auto Inc,Professional Services,Management Consulting Services,Business Management Consultants,,CA,Los Angeles,90015,645 West 9th St # 110,Not in Sample,docauto.com,"34.045469,-118.260798",Branch,B2B,$500.000 to $999.999,8742,4431424,Retail Trade
